Date,Open,High,Low,Close,Adj Close,Volume
2022-02-21,202.339996,211.320007,190.220001,210.479996,210.479996,171918600
2022-02-28,207.679993,213.149994,198.789993,200.059998,200.059998,150181200
2022-03-07,200.789993,200.889999,186.110001,187.610001,187.610001,167510900
2022-03-14,187.029999,216.800003,185.820007,216.490005,216.490005,185000200
2022-03-21,214.500000,225.500000,207.630005,221.820007,221.820007,157399700
2022-03-28,222.130005,231.149994,219.539993,224.850006,224.850006,126967100
2022-04-04,225.979996,236.860001,218.559998,222.330002,222.330002,126190000
2022-04-11,218.419998,222.029999,210.000000,210.179993,210.179993,78256700
2022-04-18,210.000000,218.429993,183.270004,184.110001,184.110001,166088100
2022-04-25,182.729996,212.479996,169.000000,200.470001,200.470001,282175400
2022-05-02,201.169998,224.300003,200.990005,203.770004,203.770004,208723900
2022-05-09,199.839996,202.960007,184.779999,198.619995,198.619995,164721100
2022-05-16,197.050003,205.460007,187.869995,193.539993,193.539993,131857800
2022-05-23,195.190002,196.990005,176.110001,195.130005,195.130005,149114900
2022-05-30,194.889999,200.940002,185.000000,190.779999,190.779999,114153500
2022-06-06,193.990005,202.029999,175.020004,175.570007,175.570007,122622500
2022-06-13,170.589996,172.580002,159.610001,163.740005,163.740005,147241300
2022-06-20,165.929993,170.250000,154.250000,170.160004,170.160004,200483100
2022-06-27,171.320007,171.750000,155.000000,160.029999,160.029999,152165600
2022-07-04,158.139999,172.720001,157.020004,170.880005,170.880005,95023900
