Date,Open,High,Low,Close,Adj Close,Volume
2022-02-21,13424.360352,13696.860352,12587.879883,13694.620117,13694.620117,20190530000
2022-02-28,13570.830078,13837.589844,13224.980469,13313.440430,13313.440430,27596320000
2022-03-07,13328.360352,13353.280273,12670.080078,12843.809570,12843.809570,28456780000
2022-03-14,12795.120117,13899.280273,12555.349609,13893.839844,13893.839844,31451040000
2022-03-21,13860.389648,14218.759766,13682.549805,14169.299805,14169.299805,26631940000
2022-03-28,14177.209961,14646.900391,14101.339844,14261.500000,14261.500000,26969050000
2022-04-04,14304.349609,14534.379883,13689.230469,13711.000000,13711.000000,23948620000
2022-04-11,13547.290039,13685.950195,13317.740234,13351.080078,13351.080078,19393150000
2022-04-18,13319.389648,13710.700195,12828.019531,12839.290039,12839.290039,23180770000
2022-04-25,12749.169922,13011.450195,12315.740234,12334.639648,12334.639648,24487710000
2022-05-02,12331.690430,12985.009766,11990.150391,12144.660156,12144.660156,25467710000
2022-05-09,11923.030273,11990.610352,11108.759766,11805.000000,11805.000000,30747340000
2022-05-16,11727.139648,11988.429688,11035.690430,11354.620117,11354.620117,25560860000
2022-05-23,11396.280273,12131.660156,11092.480469,12131.129883,12131.129883,23142860000
2022-05-30,12137.540039,12320.120117,11901.429688,12012.730469,12012.730469,19266870000
2022-06-06,12200.330078,12245.400391,11328.269531,11340.019531,11340.019531,24215310000
2022-06-13,10986.849609,11244.259766,10565.139648,10798.349609,10798.349609,29151970000
2022-06-20,10974.049805,11613.230469,10938.059570,11607.620117,11607.620117,25093570000
2022-06-27,11661.019531,11677.490234,10850.009766,11127.849609,11127.849609,26490430000
2022-07-04,10964.179688,11689.700195,10911.450195,11635.309570,11635.309570,19011360000
